Date,Open,High,Low,Close,Volume
2022-02-14,3309.005464303649,3370.538393520359,3296.565594137094,3317.6689453125,5951745
2022-02-15,3364.096462084056,3407.63600953311,3330.331098756218,3392.352783203125,3931683
2022-02-16,3415.633490322796,3424.6080563504283,3381.8681228326127,3388.177001953125,3256906
2022-02-17,3398.7509453981634,3407.636568784825,3357.877077819519,3362.49755859375,3134372
2022-02-18,3348.9908552959514,3390.708806246124,3338.8613332210016,3371.115966796875,3688883
2022-02-21,3385.4215360997177,3401.2379845633295,3292.6112699207597,3304.917724609375,7465922
2022-02-22,3243.2521466798876,3259.1573238584433,3172.1671681225203,3186.739501953125,5408531
2022-02-23,3208.598298112839,3219.1721021582184,3159.4162905968537,3166.658203125,2426203
2022-02-24,3086.8647024601314,3095.617125825377,3013.2029919298166,3022.5771484375,5039136
2022-02-25,3081.533859251846,3136.624718327283,3076.2024857929327,3128.405517578125,2549723
2022-02-28,3101.081796727202,3166.6132530334003,3070.7817416818107,3158.12744140625,3288942
2022-03-02,3156.617065851155,3173.8995564350007,3115.2989255099646,3150.974609375,2761341
2022-03-03,3165.8140687773425,3179.808924080417,3136.713655369363,3149.419921875,1928039
2022-03-04,3111.3005151866846,3164.347634660531,3098.4608348995284,3131.604248046875,2370257
2022-03-07,3065.539317577579,3152.618405439203,3049.145389831269,3096.550048828125,3054130
2022-03-08,3074.4250662664513,3206.8208277906424,3074.4250662664513,3198.779296875,3300992
2022-03-09,3203.2663707488273,3246.8059136522093,3196.2023454400996,3227.790771484375,2719654
2022-03-10,3273.4630982851195,3273.4630982851195,3212.152307356326,3217.439208984375,2005441
2022-03-11,3201.7115509453934,3234.2330122460926,3192.4705914053425,3198.068359375,1623423
2022-03-14,3181.0520859246326,3241.7853878024443,3181.0520859246326,3237.031494140625,1765688
2022-03-15,3251.2488011709297,3251.2488011709297,3185.8505422829967,3193.4033203125,3651133
2022-03-16,3234.81061397706,3259.2460739095877,3213.2629811274664,3248.494384765625,3090475
2022-03-17,3284.6595834202085,3296.5662318234804,3252.404727576451,3263.46728515625,3600452
2022-03-21,3284.1257408719225,3300.075388245015,3212.1522059664503,3222.54833984375,2413831
2022-03-22,3234.3661080997535,3297.454018450051,3221.037676335606,3288.52392578125,2907611
2022-03-23,3294.7886552601967,3314.159354710851,3278.794535574468,3298.6982421875,1596195
2022-03-24,3287.6801846115463,3339.394461966447,3283.2373735512606,3331.97509765625,1879046
2022-03-25,3340.9050951489594,3358.321001908702,3262.8005606584875,3294.300048828125,1690133
2022-03-28,3283.2367896755186,3299.2309066482276,3253.2033488621687,3294.521484375,1760990
2022-03-29,3283.0152358017476,3307.228556100982,3279.6831275036875,3292.43408203125,2689063
2022-03-30,3321.445293769234,3321.445293769234,3293.1889742074877,3315.714111328125,1583455
2022-03-31,3323.2226941539616,3336.24004386944,3305.6291188569076,3323.17822265625,2168110
2022-04-01,3330.331013312687,3343.659445863298,3312.604241407199,3339.883056640625,1387014
2022-04-04,3342.7708488713006,3358.7649677654217,3320.645737841415,3350.1904296875,1472994
2022-04-05,3351.656266029568,3408.1689027818647,3351.656266029568,3389.686767578125,2314947
2022-04-06,3384.8001942913256,3384.8001942913256,3315.358924868198,3336.8623046875,2051729
2022-04-07,3328.1095666362144,3328.1095666362144,3269.0201830609085,3273.59619140625,2494829
2022-04-08,3278.7947760071893,3292.1232100559987,3236.5880681859585,3274.929443359375,2296773
2022-04-11,3278.794733632162,3298.654186881885,3248.6725598448093,3284.4814453125,2291660
2022-04-12,3272.574288568642,3322.333767297896,3241.78569787856,3279.771728515625,4483476
2022-04-13,3293.89988537501,3296.432374272563,3248.1834062092184,3253.8701171875,1621672
2022-04-18,3207.7089734177675,3207.7089734177675,3129.9597946991926,3134.891357421875,3820792
2022-04-19,3154.3955685792644,3166.4356288546082,3055.8983694740664,3084.998779296875,3170014
2022-04-20,3109.96785358262,3171.4118459733177,3092.1966087050055,3160.438232421875,2640370
2022-04-21,3181.0525434049096,3237.9205218344946,3169.856573377936,3224.281005859375,2280996
2022-04-22,3182.0303466809823,3213.929644546312,3173.500062343697,3209.9755859375,1581465
2022-04-25,3161.5040949392046,3184.606710585191,3139.3789844211183,3152.796142578125,1960694
2022-04-26,3176.7427973254776,3188.071964429589,3126.094756154156,3151.10791015625,1943469
2022-04-27,3150.8417973252986,3170.7899768233965,3115.565918728537,3164.347900390625,1727648
2022-04-28,3188.161416300322,3202.7337507159955,3143.777774418422,3184.873779296875,1703660
2022-04-29,3196.158346677765,3219.4831052544378,3142.7114152271593,3151.463623046875,2051115
2022-05-02,3127.6499290847396,3152.574141608423,3103.525552683142,3147.642578125,1324161
2022-05-04,3144.177147062356,3150.352610577351,3079.1344414976566,3091.97412109375,2305825
2022-05-05,3120.719310294704,3139.290173030347,3096.950272047163,3121.874267578125,1612262
2022-05-06,3073.536567962998,3087.3092816962812,3042.881172879239,3050.07861328125,2010812
2022-05-09,3019.333942072676,3070.870542614234,2973.8840785411317,3061.185302734375,2481830
2022-05-10,3051.32254251295,3078.6903011908057,3040.6597962956653,3055.543212890625,1622685
2022-05-11,3052.2108543548047,3064.161971372953,3005.25025996758,3031.77392578125,1841769
2022-05-12,3001.562777515555,3065.272636777598,2976.7719816685094,3028.797119140625,2807195
